account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000060,Prof. Emil Albers B.Sc.,60,Privatkunde,Energy,MondPlatz 45,Erlangen,South,91054,Kunde,174569,1,2022-07-11
ACC000061,Erdal Börner,61,Privatkunde,Energy,RosenAllee 54,Berlin,East,10785,Kunde,289989,1,2020-04-16
ACC000062,Stefano Kabus,62,Privatkunde,Energy,LindenRing 122,Offenbach am Main,West,63065,Partner,472598,1,2020-01-30
ACC000063,Jiri Hellwig,63,Privatkunde,Energy,MondGasse 86,Dresden,East,01309,Partner,132438,1,2020-10-18
ACC000064,Marie-Luise Neuschäfer,64,Privatkunde,Energy,LindenWeg 7,Landshut,South,84028,Interessent,32540,1,2020-04-22
ACC000065,Juri Eigenwillig MBA.,65,Privatkunde,Energy,SchulPlatz 148,Waldshut-Tiengen,South,79761,Interessent,31038,1,2023-05-21
ACC000066,Dipl.-Ing. Ronald Lange B.A.,66,Privatkunde,Energy,MozartGasse 2,Garching,South,85748,Kunde,48344,1,2022-08-30
ACC000067,Dietz OHG mbH,67,Kleingewerbe,Energy,SternRing 119,Hamburg,North,20249,Partner,3618276,5,2021-08-04
ACC000068,Ing. Hildegart Lehmann,68,Kleingewerbe,Energy,SchulGasse 136,Landshut,South,84028,Interessent,790547,100,2023-08-24
ACC000069,Solveig Wagner B.Sc.,69,Privatkunde,Energy,SchulRing 130,Osnabrück,North,49074,Interessent,211129,1,2021-04-15
ACC000070,Ante Lachmann,70,Privatkunde,Energy,ParkPlatz 67,Rüsselsheim,West,65428,Interessent,158785,1,2021-12-02
ACC000071,Kambs,71,Kleingewerbe,Energy,BirkenPlatz 20,Merseburg,East,06217,Partner,2369837,50,2020-12-28
ACC000072,Falko Gröttner,72,Privatkunde,Energy,BergStraße 36,Halle,East,06108,Interessent,278885,1,2023-12-18
ACC000073,Juergen Mende B.A.,73,Privatkunde,Energy,GoethePlatz 105,Grünwald,South,82031,Partner,392105,1,2022-03-08
ACC000074,Dr. Erna Mitschke,74,Privatkunde,Energy,RathausPlatz 150,Bayreuth,South,95444,Kunde,69056,1,2021-07-03
ACC000075,Bruder GmbH & Co. KG,75,Kleingewerbe,Energy,HauptAllee 77,Bremen,North,28195,Kunde,4404110,50,2020-01-28
ACC000076,Andrei Söding,76,Privatkunde,Energy,HeideRing 57,Dessau-Roßlau,East,06844,Kunde,407858,1,2022-10-19
ACC000077,Zbigniew Davids,77,Privatkunde,Energy,TannenGasse 104,Bonn,West,53111,Partner,498110,1,2020-02-19
ACC000078,Geisel GmbH & Co. KG,78,Kleingewerbe,Energy,MarktRing 145,Weimar,East,99423,Kunde,3293365,25,2020-09-18
ACC000079,Dipl.-Ing. Diane Kusch B.Sc.,79,Privatkunde,Energy,SchulWeg 13,Berlin,East,10243,Partner,285983,1,2023-11-04
ACC000080,Dipl.-Ing. Abdullah Krein,80,Privatkunde,Energy,WiesenPlatz 72,Tübingen,South,72070,Interessent,74926,1,2023-04-03
ACC000081,Ursula Zirme,81,Privatkunde,Energy,HauptGasse 139,Dessau-Roßlau,East,06844,Kunde,306118,1,2021-03-07
ACC000082,Eva Löffler MBA.,82,Privatkunde,Energy,SonnenStraße 8,Augsburg,South,86150,Partner,387164,1,2023-04-05
ACC000083,Donald Hübel-Harloff,83,Kleingewerbe,Energy,ParkGasse 30,Bremen,North,28719,Partner,1644533,5,2020-01-30
ACC000084,Klaus Warmer,84,Privatkunde,Energy,KirchWeg 30,Dortmund,West,44135,Kunde,349297,1,2022-12-15
ACC000085,Peter-Michael Johann,85,Gewerbekunde,Energy,HauptAllee 148,Dresden,East,01309,Partner,3480067,25,2021-07-21
ACC000086,Andrei Schaaf,86,Privatkunde,Energy,GoetheRing 63,Berlin,East,12347,Kunde,152357,1,2020-02-10
ACC000087,Prof. Trudi Reichmann B.A.,87,Kleingewerbe,Energy,TalStraße 89,Altötting,South,84503,Interessent,733051,100,2023-03-21
ACC000088,Wolf-Dietrich Pergande,88,Privatkunde,Energy,TannenStraße 108,Gelsenkirchen,West,45879,Interessent,18864,1,2021-03-27
ACC000089,Simon Gotthard,89,Privatkunde,Energy,BrunnenPlatz 40,Hamburg,North,20249,Interessent,160412,1,2020-10-05
ACC000090,Konstantinos Börner,90,Gewerbekunde,Energy,HeideRing 124,Troisdorf,West,53840,Interessent,3548369,100,2021-03-31
ACC000091,Dipl.-Ing. Bruno Rudolph B.A.,91,Privatkunde,Energy,BrunnenStraße 72,Bergheim,West,50126,Partner,425544,1,2022-05-22
ACC000092,Schenk,92,Kleingewerbe,Energy,TannenStraße 127,Hamburg,North,20535,Partner,182750,25,2023-02-06
ACC000093,Lorenzo Butte,93,Privatkunde,Energy,BirkenAllee 72,Hamburg,North,20357,Kunde,183830,1,2020-09-02
ACC000094,Univ.Prof. Lidia Rosenow,94,Privatkunde,Energy,LindenStraße 62,Hamburg,North,21029,Kunde,290027,1,2020-04-30
ACC000095,Valeria Heß,95,Privatkunde,Energy,ParkGasse 126,Weimar,East,99423,Kunde,455641,1,2023-06-24
ACC000096,Mesut Tschentscher B.Eng.,96,Privatkunde,Energy,SternWeg 79,Köln,West,50667,Interessent,44963,1,2020-10-06
ACC000097,Ing. Hans-Theo Eigenwillig B.Eng.,97,Privatkunde,Energy,RathausGasse 141,Berlin,East,12043,Interessent,496278,1,2022-02-21
ACC000098,Freya Wende B.Sc.,98,Privatkunde,Energy,SchillerGasse 50,Bayreuth,South,95444,Interessent,457324,1,2020-06-28
ACC000099,Mies KG,99,Gewerbekunde,Energy,LindenWeg 124,Ansbach,South,91522,Interessent,4892585,25,2023-01-29
ACC000100,Ditschlerin,100,Gewerbekunde,Energy,RosenStraße 50,Karlsruhe,South,76227,Interessent,649480,5,2023-07-05
ACC000101,Julian Hamann,101,Privatkunde,Energy,BergWeg 71,Bamberg,South,96047,Kunde,197286,1,2023-09-27
ACC000102,Birthe Keudel,102,Privatkunde,Energy,MozartGasse 126,Freiburg,South,79098,Kunde,159186,1,2022-02-04
ACC000103,Theodor Henschel,103,Privatkunde,Energy,SchulAllee 48,Rosenheim,South,83022,Kunde,41484,1,2022-04-04
ACC000104,Hölzenbecher Franke GmbH & Co. KG,104,Gewerbekunde,Energy,BrunnenStraße 103,Hannover,North,30159,Interessent,3928341,25,2020-04-29
ACC000105,Lore Sölzer,105,Privatkunde,Energy,MozartRing 78,Bergheim,West,50126,Kunde,11607,1,2023-10-31
ACC000106,Meinolf Röhricht,106,Privatkunde,Energy,SeeRing 58,Landshut,South,84028,Partner,69295,1,2022-12-04
ACC000107,Valentina Stadelmann,107,Privatkunde,Energy,TalPlatz 79,Zwickau,East,08056,Interessent,238278,1,2020-06-02
ACC000108,Walter Eimer,108,Privatkunde,Energy,WiesenWeg 55,Düsseldorf,West,40210,Partner,184496,1,2023-10-21
ACC000109,Benita Döring,109,Privatkunde,Energy,GoetheWeg 1,Stuttgart,South,70376,Partner,288223,1,2020-09-01
ACC000110,Franz-Peter Holzapfel-auch Schlauchin,110,Privatkunde,Energy,SternAllee 117,Wiesbaden,West,65183,Interessent,155741,1,2020-12-30
ACC000111,Ullmann GmbH,111,Kleingewerbe,Energy,MondWeg 109,Landshut,South,84028,Interessent,2666884,100,2023-03-14
ACC000112,Mohammad Schuster B.Eng.,112,Privatkunde,Energy,BrunnenWeg 19,München,South,81241,Partner,291666,1,2023-08-29
ACC000113,Ing. Thekla Birnbaum B.Sc.,113,Privatkunde,Energy,RosenPlatz 32,Altötting,South,84503,Interessent,39701,1,2022-03-08
ACC000114,Ing. Angela Adler,114,Privatkunde,Energy,WaldRing 127,Bonn,West,53111,Interessent,144241,1,2023-09-13
ACC000115,Patricia Ehlert,115,Privatkunde,Energy,TannenRing 65,Bergheim,West,50126,Interessent,186753,1,2021-09-11
ACC000116,Hesse,116,Gewerbekunde,Energy,TalRing 6,Lörrach,South,79539,Kunde,1199826,10,2023-09-19
ACC000117,Univ.Prof. Heinz-Wilhelm Röhrdanz,117,Privatkunde,Energy,BeethovenPlatz 133,Hannover,North,30159,Interessent,330002,1,2020-05-10
ACC000118,Prof. Aenne Dowerg,118,Privatkunde,Energy,SonnenPlatz 24,Berlin,East,10785,Partner,341087,1,2023-07-16
ACC000119,Wigbert Täsche,119,Privatkunde,Energy,BeethovenAllee 106,Leverkusen,West,51373,Partner,271158,1,2023-03-15
ACC000120,Jörn Beier-Koch II,120,Privatkunde,Energy,WiesenRing 10,Berlin,East,10785,Kunde,374766,1,2021-02-28
ACC000121,Heinz-Dieter Eckbauer-Berger,121,Privatkunde,Energy,WiesenPlatz 132,Bonn,West,53225,Interessent,475023,1,2021-09-06
ACC000122,Gretel Benthin,122,Privatkunde,Energy,RathausStraße 49,Hamburg,North,20095,Interessent,454871,1,2020-12-27
ACC000123,Häring Striebitz GbR,123,Kleingewerbe,Energy,LindenAllee 141,Bochum,West,44787,Interessent,1170718,100,2020-02-28
ACC000124,Hans D. Ziegert,124,Privatkunde,Energy,SchillerStraße 62,München,South,81669,Kunde,41967,1,2023-03-06
ACC000125,Prof. Nermin Förster,125,Privatkunde,Energy,GoetheWeg 30,Berlin,East,10785,Kunde,151503,1,2023-07-31
ACC000126,Dr. Zoran Gierschner MBA.,126,Privatkunde,Energy,SternAllee 131,Köln,West,50823,Interessent,24904,1,2022-03-26
ACC000127,Dietrich Weihmann,127,Kleingewerbe,Energy,BergWeg 99,Berlin,East,12347,Kunde,1883626,50,2021-02-25
ACC000128,Radmila Lehmann,128,Privatkunde,Energy,GoetheAllee 107,Dachau,South,85221,Kunde,467785,1,2022-04-12
ACC000129,Ing. Daniel Zorbach B.Sc.,129,Privatkunde,Energy,BlumenAllee 149,Ansbach,South,91522,Kunde,186050,1,2022-03-12
ACC000130,Bender Mude GbR,130,Kleingewerbe,Energy,TannenRing 140,Hildesheim,North,31134,Partner,2233117,5,2021-02-27
ACC000131,Rüdiger Misicher B.Eng.,131,Kleingewerbe,Energy,MarktWeg 106,Offenbach am Main,West,63065,Kunde,4813389,10,2020-03-10
ACC000132,Roswitha Heidrich,132,Privatkunde,Energy,MarktGasse 39,Waldshut-Tiengen,South,79761,Partner,397494,1,2023-04-21
ACC000133,Herr Maurizio Gröttner MBA.,133,Privatkunde,Energy,TannenStraße 113,Köln,West,50667,Partner,241426,1,2021-12-13
ACC000134,Erna Bohnbach,134,Privatkunde,Energy,SonnenWeg 20,Donauwörth,South,86609,Kunde,21127,1,2022-08-08
ACC000135,Gina Seifert,135,Privatkunde,Energy,SonnenStraße 85,Bonn,West,53111,Kunde,485125,1,2022-10-02
ACC000136,Mariola Renner-Kabus,136,Privatkunde,Energy,SternPlatz 139,Hamburg,North,22143,Kunde,356503,1,2022-12-08
ACC000137,Bogdan Heß,137,Privatkunde,Energy,RosenWeg 24,Freiburg,South,79111,Interessent,111123,1,2021-12-10
ACC000138,Prof. Wolfgang Hettner,138,Kleingewerbe,Energy,BeethovenGasse 77,Köln,West,50823,Partner,4445926,50,2022-02-20
ACC000139,Bert Scheuermann,139,Privatkunde,Energy,KirchAllee 111,Bremen,North,28195,Kunde,367489,1,2023-09-25
ACC000140,Ing. Monika Zobel,140,Privatkunde,Energy,BeethovenWeg 45,Gräfelfing,South,82166,Interessent,271895,1,2021-07-06
ACC000141,Ilonka Schlosser,141,Privatkunde,Energy,TalWeg 60,Gersthofen,South,86368,Partner,253947,1,2021-03-29
ACC000142,Hans-Josef Sager,142,Privatkunde,Energy,HeidePlatz 74,Bonn,West,53111,Interessent,442601,1,2023-01-21
ACC000143,Ferdinand Beyer MBA.,143,Privatkunde,Energy,TalAllee 109,Berlin,East,10405,Kunde,424654,1,2023-09-05
ACC000144,Preiß e.V.,144,Kleingewerbe,Energy,ParkStraße 61,Berlin,East,12555,Interessent,4836460,5,2023-03-07
ACC000145,Hans-Christian Löwer B.Sc.,145,Privatkunde,Energy,RosenStraße 102,Offenbach am Main,West,63065,Kunde,154194,1,2020-05-03
ACC000146,Kabus,146,Kleingewerbe,Energy,SeeGasse 128,Karlsruhe,South,76227,Partner,851497,25,2021-10-03
ACC000147,Johann,147,Kleingewerbe,Energy,EichenGasse 49,Hamburg,North,21029,Kunde,3071753,100,2023-09-10
ACC000148,Ebert,148,Kleingewerbe,Energy,MozartGasse 25,Berlin,East,14052,Interessent,1869015,100,2021-05-25
ACC000149,Jolanthe Jessel,149,Privatkunde,Energy,TalAllee 34,Bremen,North,28195,Partner,228600,1,2021-07-15
ACC000150,Ing. Helen Thies,150,Privatkunde,Energy,LindenWeg 139,Altötting,South,84503,Interessent,309555,1,2022-11-09
ACC000151,Kreszentia Eckbauer,151,Privatkunde,Energy,BrunnenWeg 66,Hamburg,North,21073,Kunde,403135,1,2023-06-20
ACC000152,Hasso Stahr MBA.,152,Gewerbekunde,Energy,TannenStraße 120,Bassum,North,27211,Interessent,1767643,5,2022-11-05
ACC000153,Weller,153,Kleingewerbe,Energy,MondPlatz 143,Emden,North,26721,Partner,3302187,100,2022-12-12
ACC000154,Prof. Karsten Jacobi Jäckel,154,Privatkunde,Energy,SchulAllee 68,Langen,West,63225,Interessent,230412,1,2023-11-10
ACC000155,Klothilde Ackermann-Jähn,155,Gewerbekunde,Energy,EichenPlatz 7,Gelsenkirchen,West,45879,Kunde,4474709,5,2020-09-07
ACC000156,Denise Löwer,156,Privatkunde,Energy,SonnenStraße 119,Berlin,East,13187,Kunde,232228,1,2022-07-29
ACC000157,Irmingard Martin,157,Privatkunde,Energy,BahnhofStraße 78,Bremerhaven,North,27568,Kunde,381254,1,2020-06-10
ACC000158,Marietta Hamann MBA.,158,Privatkunde,Energy,MozartPlatz 117,Wilhelmshaven,North,26382,Interessent,198414,1,2022-11-26
ACC000159,Univ.Prof. August Hölzenbecher,159,Privatkunde,Energy,MozartPlatz 26,Rüsselsheim,West,65428,Interessent,337624,1,2020-05-27
ACC000160,Antonie Wende,160,Privatkunde,Energy,BahnhofGasse 95,Hamburg,North,22297,Partner,390616,1,2023-04-14
ACC000161,Stey GmbH,161,Gewerbekunde,Energy,SchillerGasse 95,Esslingen,South,73728,Partner,582620,10,2020-01-22
ACC000162,Dr. Claus-Dieter Barth B.Sc.,162,Privatkunde,Energy,LindenStraße 117,Gelsenkirchen,West,45879,Kunde,317407,1,2020-03-24
ACC000163,Dipl.-Ing. Leon Wirth B.Sc.,163,Privatkunde,Energy,HauptStraße 86,Landshut,South,84028,Partner,145627,1,2021-02-19
ACC000164,Lindau Schüler KG,164,Kleingewerbe,Energy,BergWeg 56,Stuttgart,South,70563,Partner,3014348,50,2020-06-16
ACC000165,Oscar Thies MBA.,165,Privatkunde,Energy,SeeStraße 71,Hamburg,North,20535,Kunde,321732,1,2021-08-10
ACC000166,Kühnert Henk AG & Co. KG,166,Gewerbekunde,Energy,HeideWeg 29,Hamburg,North,20357,Kunde,918196,5,2021-10-08
ACC000167,Tim Wende,167,Privatkunde,Energy,HeideWeg 83,Berlin,East,10115,Kunde,173691,1,2023-09-19
ACC000168,Reinhard Loos,168,Privatkunde,Energy,WaldStraße 17,Rheinfelden,South,79618,Partner,431637,1,2021-05-06
ACC000169,Dr. Roman Thies MBA.,169,Privatkunde,Energy,WaldWeg 12,Bonn,West,53225,Partner,164542,1,2020-01-20
ACC000170,Karl-Heinrich Hering,170,Privatkunde,Energy,HauptStraße 123,Altenburg,East,04600,Interessent,230327,1,2021-01-01
ACC000171,Herbert Eimer,171,Privatkunde,Energy,SchulStraße 21,Hamburg,North,21109,Interessent,285342,1,2023-01-29
ACC000172,Marie Reichmann B.Eng.,172,Privatkunde,Energy,SonnenRing 141,Fürth,South,90762,Partner,309312,1,2023-01-02
ACC000173,Schmiedecke Ullrich GmbH & Co. OHG,173,Gewerbekunde,Energy,SchulRing 111,Dessau-Roßlau,East,06844,Kunde,1065335,5,2020-09-29
ACC000174,Rogner Meister AG & Co. KGaA,174,Kleingewerbe,Energy,BlumenWeg 111,Traunstein,South,83278,Interessent,116237,10,2020-07-23
ACC000175,Dipl.-Ing. Ellen Wende B.A.,175,Privatkunde,Energy,MarktPlatz 25,Köln,West,51065,Interessent,361037,1,2020-05-30
ACC000176,Ottilie Zänker,176,Privatkunde,Energy,MozartGasse 122,Bamberg,South,96047,Kunde,111180,1,2023-01-05
ACC000177,Univ.Prof. Edith Höfig MBA.,177,Privatkunde,Energy,BlumenAllee 34,Traunstein,South,83278,Partner,440635,1,2022-03-09
ACC000178,Trupp GmbH,178,Gewerbekunde,Energy,MondStraße 106,Bochum,West,44787,Interessent,1132462,100,2020-12-07
ACC000179,Heydrich GmbH,179,Kleingewerbe,Energy,SeeAllee 91,Langen,West,63225,Interessent,1841558,50,2023-01-26
ACC000180,Sylvia Riehl,180,Privatkunde,Energy,EichenStraße 90,Kempten,South,87435,Interessent,159219,1,2022-04-11
ACC000181,Christian Flantz,181,Privatkunde,Energy,EichenPlatz 144,Hamburg,North,21073,Kunde,390668,1,2023-01-10
ACC000182,Dipl.-Ing. Necati Fliegner B.A.,182,Privatkunde,Energy,HauptRing 69,Osnabrück,North,49074,Interessent,268276,1,2021-05-18
ACC000183,Harry Lange,183,Privatkunde,Energy,TannenAllee 2,Rheinfelden,South,79618,Partner,483820,1,2022-10-30
ACC000184,Kerstin Mosemann,184,Privatkunde,Energy,MozartGasse 8,München,South,80796,Interessent,348600,1,2022-03-12
ACC000185,Frau Danuta Löchel,185,Privatkunde,Energy,TannenWeg 95,Kempten,South,87435,Partner,214607,1,2023-06-02
ACC000186,Theda Wohlgemut-Schaaf,186,Kleingewerbe,Energy,BahnhofWeg 41,Bamberg,South,96047,Kunde,2252725,100,2021-06-22
ACC000187,Stanislaw Wilmsen,187,Privatkunde,Energy,MondPlatz 125,Leipzig,East,04103,Kunde,135644,1,2022-02-15
ACC000188,Ivonne Albers-Kitzmann,188,Privatkunde,Energy,SchillerAllee 111,Berlin,East,12347,Interessent,205666,1,2022-06-28
ACC000189,Nora Krein,189,Privatkunde,Energy,MondAllee 12,Freising,South,85354,Partner,54227,1,2022-11-08
ACC000190,Prof. Nelli Warmer,190,Privatkunde,Energy,LindenWeg 66,Karlsruhe,South,76227,Interessent,231924,1,2022-08-21
ACC000191,Dipl.-Ing. Emanuel Heydrich MBA.,191,Privatkunde,Energy,BeethovenWeg 98,Stuttgart,South,70376,Kunde,148711,1,2022-10-15
ACC000192,Frau Hatice Kallert MBA.,192,Privatkunde,Energy,HeideAllee 19,Dortmund,West,44135,Interessent,277698,1,2023-11-30
ACC000193,Dipl.-Ing. Vassilios Eckbauer,193,Privatkunde,Energy,GoetheAllee 148,Frankfurt am Main,West,60311,Interessent,52473,1,2021-08-30
ACC000194,Traugott Kroker,194,Privatkunde,Energy,SchillerPlatz 6,Langen,West,63225,Kunde,23223,1,2020-10-04
ACC000195,Rosemann,195,Kleingewerbe,Energy,KirchStraße 112,Emden,North,26721,Interessent,728806,100,2020-08-22
ACC000196,Attila Seidel,196,Privatkunde,Energy,GoethePlatz 80,Hamburg,North,20535,Interessent,447481,1,2023-02-13
ACC000197,Dr. Sonja Mitschke,197,Privatkunde,Energy,WaldGasse 30,Halle,East,06108,Partner,119047,1,2020-02-14
ACC000198,Binner GbR,198,Kleingewerbe,Energy,BrunnenGasse 38,Dortmund,West,44135,Kunde,2477775,25,2022-09-15
ACC000199,Gaby Hahn-Meyer,199,Privatkunde,Energy,MozartGasse 20,Stuttgart,South,70563,Interessent,490012,1,2023-12-28
