employee_key,employee_name,gender,hire_date
156,Salvatore Hänel,M,2021-04-09
157,Renata Karz,M,2019-02-13
158,Klaudia Lübs,M,2017-12-20
159,Miroslaw Jopich,M,2019-03-22
160,Kaspar Bachmann,M,2018-08-20
161,Wolfhard Killer B.Sc.,F,2023-02-27
162,Anastasia Kostolzin,F,2024-10-21
163,Kuno Trubin-Hertrampf,F,2025-11-08
164,Grete Dippel-Ziegert,M,2022-11-04
165,Valentin Mielcarek-Caspar,F,2025-07-07
166,Ludmila Sontag,F,2016-12-18
167,Dipl.-Ing. Ramazan Zänker,F,2022-04-20
168,Prof. Franjo Wesack MBA.,F,2019-04-11
169,Kenneth Freudenberger,F,2023-08-02
170,Angelique Schlosser,F,2022-12-11
171,Sina Hahn-Henck,F,2017-06-04
172,Maurice Henk-Kreusel,F,2022-02-20
173,Dr. Sören Röhrdanz MBA.,F,2017-09-29
174,Bertold Thanel,F,2020-02-01
175,Univ.Prof. Gabriel Ruppert,F,2025-02-06
176,Jens-Peter Wirth-Weinhold,F,2023-11-27
177,Abdullah Bauer MBA.,F,2025-07-28
178,Prof. Birger Pieper B.A.,M,2018-03-16
179,Ing. Hans-Christian Drub,F,2025-08-02
180,Istvan Mentzel,M,2020-08-13
181,Frau Jasmina Scholtz,F,2020-06-21
182,Hubertus Faust,F,2024-07-27
183,Ernest Heidrich-Trommler,F,2022-08-08
184,Falko Wähner,F,2019-09-26
185,Athanasios Köster B.A.,M,2018-07-27
186,Univ.Prof. Pietro Ritter,F,2019-12-30
187,Oscar Jockel-Klapp,M,2025-01-20
188,Raymund Heydrich,M,2023-06-15
189,Kenan Herrmann,M,2023-08-29
190,Marianne Ortmann B.Sc.,F,2017-07-05
191,Prof. Centa Reinhardt,F,2024-01-13
192,Herr Juergen Söding,M,2023-02-18
193,Hannelore Rogner,M,2017-10-04
194,Hans-Werner Gude,F,2018-01-31
195,Frau Diana Pruschke MBA.,F,2020-03-23
196,Mareen Thies,M,2025-01-02
197,Susann Heinrich B.A.,M,2026-01-29
198,Dr. Torsten Etzold,F,2026-03-07
199,Caterina Lübs,F,2026-01-19
200,Hans-Peter Pieper B.Sc.,F,2018-06-22
201,Aynur Hornig,M,2018-01-22
202,Volker Preiß-Zänker,F,2019-11-24
203,Ivonne Kensy,F,2021-04-28
204,Ella Mosemann,F,2022-08-01
205,Heinz-Willi Loos,M,2019-04-21
206,Elzbieta Buchholz,M,2019-08-06
207,Liesa Jacob B.Sc.,F,2016-07-04
208,Clarissa Werner,F,2020-05-04
209,Prof. Fabian Schulz,M,2019-12-21
210,Selma Heuser,F,2017-10-03
211,Ing. Ottmar Köster B.Sc.,M,2023-02-06
212,Friedericke Adolph,F,2022-03-29
213,Janet Junck B.Eng.,F,2024-01-03
214,Peer Jungfer,F,2021-05-31
215,Ulrich Losekann,M,2023-02-28
216,Regine Trupp,M,2020-09-15
217,Dr. Constance Bauer,M,2016-06-23
218,Ingeborg Ebert B.Eng.,M,2019-06-25
219,Klothilde Müller,F,2022-08-07
220,Lidija Ehlert,F,2018-02-14
221,Christiane Pölitz,M,2020-10-08
222,Herr Gottfried Wende MBA.,F,2025-03-09
223,Stefano Rörricht,F,2021-12-19
224,Herr Othmar Mülichen,F,2025-01-09
225,Konstantin Paffrath,M,2022-11-20
226,Dr. Alfonso Säuberlich,M,2021-08-13
227,Cilli Schottin,M,2024-09-28
228,Oxana Fechner,M,2017-08-16
229,Mariola Heser,F,2018-06-06
230,Ehrenfried Binner,M,2021-05-20
231,Prof. Birgitta Schacht B.Sc.,M,2023-10-09
232,Aleksandar Austermühle,M,2018-02-23
233,Dr. Igor Schinke,M,2024-06-04
234,Sigfried Klingelhöfer-Mohaupt,M,2022-02-01
235,Ing. Richard Schmiedecke B.Eng.,F,2022-03-12
236,Dipl.-Ing. Rico Beer,M,2025-10-03
237,Ing. Andree Röhrdanz,M,2018-10-17
238,Isabelle Seifert B.Sc.,M,2016-07-08
239,Prof. Aynur Nohlmans B.Sc.,F,2016-08-06
240,Tino Kramer,M,2024-05-05
241,Gabriel Kranz-Aumann,M,2021-11-22
242,Rotraud Rust,F,2021-07-14
243,Justus Junken,M,2018-02-02
244,Annette Ziegert,M,2017-08-23
245,Dipl.-Ing. Wera Bien,F,2018-05-05
246,Wilhelmine Täsche B.Eng.,F,2016-09-08
247,Bernd-Dieter Zänker,F,2022-04-02
248,Liane Bolander,M,2020-11-22
249,Sarah Paffrath,M,2018-10-27
250,Dipl.-Ing. Calogero Thies B.Eng.,M,2023-09-05
251,Pietro Döring,F,2022-08-11
252,Prof. Erna Preiß,F,2017-12-07
253,Olav Hein,F,2023-05-15
254,Katrin Spieß MBA.,F,2023-06-17
255,Gundolf Jockel,F,2022-10-05
256,Univ.Prof. Salvatore Roskoth,F,2026-04-02
257,Mariele Scholtz,M,2023-05-16
258,Romana Neuschäfer,M,2025-09-14
259,Imke Steinberg,M,2017-04-16
260,Frau Angela Möchlichen B.Sc.,M,2025-03-02
261,Pawel Seidel,M,2022-06-22
262,Erhardt Kobelt,F,2023-07-09
263,Rosi Hauffer-Keudel,M,2018-05-11
264,Luigi Mude,F,2022-09-18
265,Agata Kambs,M,2018-04-08
266,Hans-Gerhard Jungfer,M,2024-01-03
267,Dipl.-Ing. Eleonore Dörschner,F,2021-10-20
268,Marica Hartung,F,2026-04-22
269,Hans-H. Dörschner,M,2021-11-22
270,Camilla Drub,F,2017-02-11
271,Lore Hertrampf,M,2017-08-06
272,Ludger Finke,M,2022-06-12
273,Gabriele Steinberg-Säuberlich,F,2023-09-22
274,Dr. Edda Kroker MBA.,F,2019-10-31
275,Fredo Hauffer,M,2020-09-13
276,Tatjana Hettner B.Sc.,M,2017-05-10
277,Niels Davids,M,2026-05-20
278,Tilman Drub,M,2022-02-21
279,Tobias Langern,M,2024-09-23
280,Dr. Fred Hiller,M,2018-12-14
281,Gesine Wulf-Hettner,F,2018-10-28
282,Annemarie Staude,M,2026-02-15
283,Marijan Salz,F,2021-08-11
284,Sina Junk,F,2021-05-05
285,Lilo Dowerg B.Eng.,M,2017-02-14
286,Dipl.-Ing. Klaus Römer B.Sc.,F,2019-04-28
287,Franz Josef Kobelt B.Eng.,M,2025-05-25
288,Alexander Hölzenbecher B.Eng.,M,2021-10-23
289,Leander Bohnbach,F,2016-12-19
290,Hartmuth Schacht,F,2016-10-22
291,Ladislaus Renner,F,2019-09-25
292,Volker Grein Groth B.Sc.,M,2023-06-27
293,Dipl.-Ing. Roger Kraushaar,M,2020-06-12
294,Univ.Prof. Andreas Meister B.Eng.,F,2019-05-10
295,Matthias Löwer,M,2016-07-02
296,Ansgar Kohl,F,2019-04-03
297,Kenneth Döhn,F,2020-12-11
298,Gunda Dippel-Bähr,M,2020-11-20
299,Lisette Fröhlich,F,2024-07-08
300,Jurij Kranz,F,2024-10-07
301,Ing. Leopoldine Heydrich B.Eng.,F,2019-10-03
302,Konstantin Graf B.Sc.,M,2023-05-18
303,Dipl.-Ing. Nada Ullmann,M,2021-09-22
304,Ing. Valerij Mitschke B.Sc.,M,2019-10-18
305,Prof. Klothilde Plath,F,2024-05-27
306,Horst-Günter Schuchhardt,F,2023-10-17
307,Melissa Schuchhardt-Steinberg,F,2025-09-11
308,Arthur Schinke,F,2018-11-09
309,Aleksandar Nohlmans B.Sc.,M,2021-02-11
310,Dr. Elfie Ullmann,F,2021-02-11
311,Trude Reichmann,M,2018-03-15
312,Marko Weinhage,F,2021-11-30
313,Darko Weihmann,F,2023-08-22
314,Frau Susi Klotz,F,2020-11-14
315,Helmuth Pärtzelt,F,2024-12-25
316,Bianka Hesse,M,2025-01-25
317,Univ.Prof. Renata Bähr,F,2020-05-12
318,Roman Kaul-Schmidt,F,2017-01-31
319,Ing. Jennifer Davids,M,2020-11-28
320,Fanny Killer,F,2018-04-23
321,Laila Stahr B.Eng.,F,2021-12-03
322,Anne Hermighausen-Ruppert,F,2017-05-08
323,Zdravko Börner,M,2025-01-03
324,Alla Textor,F,2026-05-03
325,Gunar Jähn,F,2025-04-04
326,Franka Ruppersberger,F,2025-10-12
327,Bärbel Dörschner,F,2020-09-12
328,Prof. Tony Schmiedt MBA.,F,2020-09-06
329,Roberto Sauer B.Sc.,M,2024-08-21
330,Hedda Weinhold-Kusch,M,2021-01-17
331,Sigmund Hertrampf-Seidel,M,2021-05-02
332,Yilmaz Hendriks,M,2019-06-13
333,Jana Schäfer,M,2017-07-06
334,Hansjoachim Kensy,F,2022-05-30
335,Bernd Eigenwillig,M,2024-04-22
336,Robin Mülichen,F,2019-04-01
337,Dipl.-Ing. Engin Junken B.Sc.,F,2020-11-06
338,Univ.Prof. Judith Biggen,M,2023-03-25
339,Claus Misicher-Dussen van,F,2025-03-20
340,Dipl.-Ing. Christiana Haering,M,2024-02-11
341,Ing. Dimitri Linke B.Sc.,F,2025-01-14
342,Christin Lindner B.Eng.,F,2017-04-27
343,Severin Haase,F,2019-10-31
344,Frau Cordula Käster,F,2017-09-29
345,Vanessa Ernst,M,2023-01-11
346,Athanasios Steinberg,F,2024-09-21
347,Eitel Gutknecht-Seifert,F,2026-05-06
348,Marius Schuchhardt-Bohlander,F,2024-03-20
349,Sofia Stroh,M,2016-12-27
350,Sandra Vogt,M,2018-09-13
351,Albina Ziegert,F,2020-06-18
352,Doreen Heintze,M,2021-01-01
353,Gustav Lachmann,M,2017-08-09
354,Ing. Silvio Lindau B.A.,M,2019-06-04
355,Gerti Gröttner B.Sc.,F,2025-12-24
356,Kerstin Hellwig,M,2024-03-28
357,Kunigunda Flantz,F,2018-11-07
358,Salih Trommler-Schacht,M,2017-07-31
359,Waldtraut Preiß,M,2020-08-15
360,Hans-Henning Krause,F,2021-02-20
361,Oscar Biggen B.A.,F,2018-05-31
362,Herr Heinz-Günther Wiek,F,2026-06-02
363,Holm Adler,F,2026-04-17
364,Sylvio Carsten-Tlustek,M,2017-06-06
365,Gerlind Noack,F,2024-09-15
366,Tom Eimer,F,2019-02-06
367,Astrid Gieß,M,2025-12-13
368,Wolfgang Textor B.A.,F,2017-07-06
369,Horst-Günter Rust,F,2019-05-18
370,Else Tintzmann,M,2023-08-10
371,Susi Mülichen,M,2023-07-25
372,Urte Säuberlich-Werner,M,2025-06-05
373,H.-Dieter Gutknecht-Lehmann,M,2023-08-02
374,Bernd Neuschäfer,M,2020-12-26
375,Anastasios Heidrich-Jäkel,M,2017-09-13
376,Univ.Prof. Elwira Eberhardt MBA.,F,2026-03-23
377,Zofia Scholl,F,2019-11-18
378,Dr. Achim Biggen,F,2023-09-07
379,Ing. Dietmar Ehlert,F,2025-10-27
380,Antoinette Lachmann MBA.,F,2018-10-13
381,Maxim Wagner B.A.,F,2019-08-02
382,Traute Caspar,M,2023-10-31
383,Luzie Weinhold B.A.,F,2024-08-01
384,Apostolos Junck,F,2025-08-25
385,Dipl.-Ing. Phillip Anders,F,2017-10-22
386,Otmar Blümel MBA.,M,2024-11-08
387,Univ.Prof. Elizabeth Eberth,M,2024-08-03
388,Otto Wulf,F,2016-12-12
389,Herr Aloys Buchholz B.Sc.,M,2017-05-29
390,Alexandros Stolze,F,2022-08-07
391,Amalie Biggen-Kabus,F,2024-02-18
392,Gerold Schaaf,F,2018-05-02
393,Tanja Lindner-Reising,F,2019-11-17
394,Anny Bärer,F,2024-07-30
395,Denise Mühle,F,2018-06-23
396,Dr. Hermann Josef Wulf,M,2023-04-30
397,Prof. Torsten Gnatz B.Sc.,F,2023-07-14
398,Dimitrios Jäntsch B.Eng.,M,2018-02-20
399,Ismail Wulf,M,2021-10-05
400,Ing. Irmgard Mülichen,M,2026-06-12
401,Franziska Hamann,M,2024-05-31
402,Prof. Karlfried Ditschlerin,M,2022-03-11
403,Herr David Sontag B.Eng.,F,2019-01-14
404,Ing. Henrik Heß B.Sc.,F,2019-11-24
405,Alwine Wagenknecht-Pergande,F,2025-12-18
406,Kirsten Stolze B.Sc.,F,2019-02-16
407,Darius Hamann-Seidel,F,2022-01-19
408,Magret Ruppert,F,2023-08-11
409,Insa Zorbach,M,2024-06-15
410,Kathleen Jähn,M,2024-07-07
411,Philomena Scholtz-Warmer,M,2021-09-22
412,Annemarie Tlustek,M,2019-07-30
413,Magnus Koch,F,2019-02-05
414,Fernando Eigenwillig,F,2021-02-08
415,Ilhan Bolnbach,F,2020-04-07
416,Franz Josef Heintze,F,2018-09-01
417,Heinz-Werner Lachmann-Zobel,M,2025-07-04
418,Benita Winkler-Eigenwillig,M,2019-04-16
419,Friedlinde Hettner,M,2018-08-03
420,Tino Käster-Vogt,F,2020-02-21
421,Sergio Hänel,F,2022-03-08
422,Samir Liebelt,F,2020-11-20
423,Malgorzata Staude B.A.,M,2024-05-30
424,Krystyna Bauer B.A.,F,2017-01-28
425,Ferenc Kühnert MBA.,F,2024-12-31
426,Ing. Wiltrud Hahn B.Sc.,M,2018-01-30
427,Rainer Speer,M,2024-08-21
428,Karl Franke B.Sc.,M,2024-04-21
429,Thomas Vogt B.Eng.,M,2021-07-28
430,Prof. James Jähn B.Eng.,F,2016-08-09
431,Amanda Kreusel,F,2019-11-14
432,Antonietta Stroh,M,2021-07-26
433,Dr. Irmela Pärtzelt,F,2017-05-04
434,Dr. Annekatrin Mude,F,2019-10-23
435,Ursula Fritsch-Stiebitz,M,2025-10-26
436,Ing. Erdogan Patberg,M,2021-02-03
437,Elzbieta Klotz,M,2024-10-02
438,Annett Trüb,F,2020-07-26
439,Lilian Schleich,M,2024-12-06
440,Martin Beer B.Sc.,F,2020-12-30
441,Nermin Hahn-Henk,F,2019-06-08
442,Gabriela Hölzenbecher,M,2021-11-30
443,Balthasar Eberth,F,2019-10-23
444,Arndt Schönland-Stumpf,F,2023-01-10
445,Kristina Ditschlerin,M,2024-06-20
446,Zeljko Bloch-Klemt,M,2018-07-08
447,Herr Karl-Ernst Ruppert B.A.,F,2025-03-26
448,Mato Gorlitz-Flantz,F,2016-09-16
449,Univ.Prof. Witold Jessel,M,2023-08-06
450,Dipl.-Ing. Helma Zimmer MBA.,M,2025-03-29
451,Stefania Reichmann-Gutknecht,F,2016-12-05
452,Prof. Dariusz Kostolzin,F,2023-06-10
453,Evangelia Bonbach B.Sc.,M,2023-07-19
454,Dipl.-Ing. Dorina Junken B.Eng.,F,2023-02-19
455,Dr. Gretl Stahr,F,2022-04-11
456,Lili Bähr,M,2024-10-06
457,Baptist Harloff-Knappe,M,2023-10-12
458,Andres Drubin B.A.,M,2019-10-18
459,Marjan Gumprich,F,2019-11-08
460,Hatice Losekann,F,2020-10-15
461,Annaliese Lorch MBA.,M,2022-04-15
462,Ing. Evelin Barkholz,M,2022-10-26
463,Frank-Peter Plath,F,2018-07-30
464,Arndt Scholtz,M,2018-03-24
465,Walentina Werner,F,2023-09-29
466,Herr Tilman Kensy,F,2023-06-14
467,Dr. Bernard Kuhl B.Eng.,F,2020-03-22
468,Frida Ackermann,M,2025-04-06
469,Reni Koch,M,2018-01-05
470,Ottmar Kreusel B.Sc.,F,2016-08-11
471,Karl-Josef Pärtzelt-Holzapfel,M,2021-02-05
472,Wolf-Dietrich Salz B.A.,M,2024-04-15
473,Dipl.-Ing. Jolanda Salz,M,2024-05-28
474,Alexandros Kühnert,M,2021-10-03
475,Veronica Wirth,F,2022-10-18
476,Prof. H.-Dieter Hölzenbecher,M,2025-05-13
477,Alexei Johann B.A.,M,2026-01-08
478,Frau Virginia Hermighausen,F,2023-01-28
479,Heinz-Gerd Zorbach,F,2025-02-25
480,Univ.Prof. Helge Bähr MBA.,F,2025-10-19
481,Ing. Melita Etzold B.Sc.,F,2022-11-07
482,Anka Gnatz,M,2016-12-03
483,Romy Zobel,M,2022-12-21
484,Larissa Schmiedt B.A.,M,2016-07-09
485,Isolde Walter B.Sc.,F,2022-06-29
486,Josefa Koch II,M,2016-12-11
487,Patrizia Scheuermann,M,2022-04-30
488,Songül Hettner,M,2016-09-20
489,Kriemhild Wesack,F,2018-03-07
490,Magdalene Beyer,M,2020-12-10
491,Jessika Döhn,M,2019-07-22
492,Janine Sager B.Eng.,M,2019-01-28
493,Gotthard Tintzmann,F,2024-12-10
494,Dr. Knud Drewes,F,2025-11-19
495,Herbert Schulz B.Sc.,F,2025-10-27
496,Kreszentia Putz-Holzapfel,M,2022-10-04
497,Maya Naser,M,2023-03-20
498,Dr. Adolf Ziegert B.Eng.,M,2024-12-09
499,Gerhard Dobes,M,2021-03-07
500,Prof. Gerd Etzler,M,2025-07-05
501,Jasmin Mielcarek-Holsten,M,2021-02-22
502,Eileen Zänker,M,2017-07-01
503,Univ.Prof. Gönül Wilms,F,2020-12-01
504,Sabrina Linke,F,2026-02-06
505,Augusta Kostolzin B.Eng.,M,2018-07-14
506,Mathias Tröst,M,2018-11-02
507,Rosa Pölitz-Koch,M,2017-08-10
508,Susann Etzler,F,2022-05-08
509,Frau Hulda Pruschke MBA.,F,2019-07-31
510,Ing. Hansjürgen Schwital,M,2019-06-25
511,Dierk Junk B.Sc.,M,2018-12-14
512,Alessandro Gehringer,M,2016-07-28
513,Necati Drubin B.Eng.,F,2023-01-20
514,Franz Josef Buchholz,F,2022-03-10
515,Pawel Ehlert,M,2017-01-02
516,Marko Meyer,M,2016-12-04
517,Ella Tlustek B.Sc.,F,2024-08-05
518,Prof. Ilonka Dietz B.Eng.,M,2026-06-04
519,Reinhard Paffrath B.Sc.,M,2025-05-02
520,Diedrich Hertrampf,M,2018-05-02
521,Francis Ziegert-Naser,F,2019-09-11
522,Philip Otto,F,2023-12-20
523,Dipl.-Ing. Jochem Seidel,M,2016-11-26
524,Elzbieta Wähner B.A.,M,2024-05-03
525,Catrin Jüttner,F,2020-07-27
526,Mariola Mitschke,M,2019-03-21
527,Dipl.-Ing. Ludwig Dörr,M,2017-01-29
528,Heiderose Ladeck,M,2022-10-07
529,Veli Ackermann-Neureuther,M,2020-11-01
530,Prof. Hermann Josef Fischer,M,2024-03-22
531,Univ.Prof. Bogdan Ullrich MBA.,F,2017-10-15
532,Univ.Prof. Ehrentraud Hänel,F,2026-03-27
533,Notburga Walter,M,2024-10-01
534,Prof. Heinz-Walter Klingelhöfer B.Sc.,F,2019-03-29
535,Mohammed Gute,M,2021-12-17
536,Hatice Tlustek,M,2026-01-06
537,Wojciech Etzler,F,2025-01-15
538,Adelgunde Fliegner,M,2022-01-16
539,Hassan Textor B.A.,F,2020-12-24
540,Lucie Hübel,M,2023-01-23
541,Rosalie Mies,F,2017-07-24
542,Eva-Maria Mielcarek,M,2022-06-20
543,Edeltraud Nohlmans,F,2019-09-26
544,Dipl.-Ing. Timm Schwital,M,2022-10-20
545,Frau Tabea Riehl,M,2016-08-26
546,Faruk Striebitz-Pohl,F,2024-03-05
547,Ahmed Striebitz,F,2017-12-09
548,Prof. Adriane Löchel MBA.,M,2022-11-02
549,Luigi Heuser-Löffler,M,2023-10-12
550,Dana Adolph,F,2019-08-12
551,Dimitrios Geißler-Dussen van,F,2022-07-27
552,Hans-Walter Schomber,F,2017-10-01
553,Roswita Renner,F,2016-09-06
554,Univ.Prof. Tino Fischer,M,2024-08-31
555,Dr. Dorota Jäkel B.Eng.,M,2018-10-01
556,Tomas Wirth,F,2017-11-08
557,Jobst Hamann,F,2025-04-13
558,Ferdinand Wesack,M,2022-01-13
559,Katy Steckel,F,2021-11-27
560,Dr. Mohamed Gröttner,M,2018-02-20
561,Hildegunde Werner,F,2017-09-28
562,Berta Schleich-Sauer,F,2025-01-18
563,Anatoli Pergande,M,2022-02-21
564,Cynthia Finke-Dörschner,F,2023-07-18
565,Dipl.-Ing. Waldemar Wernecke B.Eng.,F,2018-11-15
566,Herr Reinhard Heß,F,2023-08-18
567,Sabina Jacobi Jäckel,M,2019-12-02
568,Curt Naser-Baum,F,2019-01-17
569,Justina Schmidtke,M,2023-08-14
570,Ing. Patrizia Hermighausen B.A.,M,2025-08-27
571,Lotte Striebitz,F,2025-07-23
572,Alexei Harloff MBA.,F,2025-01-27
573,Marga Birnbaum,M,2019-01-02
574,Sevim Heuser B.A.,F,2021-09-20
575,Philippe Birnbaum,M,2017-12-03
576,Selim Seip,M,2020-06-22
577,Herr Marcus Meyer MBA.,F,2024-04-16
578,Univ.Prof. Marianna Kranz,F,2018-11-27
579,Wally Pechel,M,2021-04-20
580,Theda Niemeier B.Sc.,M,2020-01-12
581,Irmtrud Heintze,M,2023-09-29
582,Doris Paffrath,M,2018-09-26
