sales_rep_key,rep_name,hire_date
177,Ing. Ludger Heydrich B.Sc.,2018-07-25
178,Murat Krein-Pohl,2021-05-14
179,Doreen Henck,2022-03-28
180,Bertram Hesse B.Sc.,2023-11-09
181,Enver Bärer,2019-08-14
182,Rigo Stumpf,2018-11-17
183,Prof. Baptist Bohnbach B.Sc.,2024-11-03
184,Ismail Kaul,2023-08-13
185,Kathy Mangold B.A.,2021-06-18
186,Dr. Elisa Pechel,2019-01-18
187,Edelgard Bonbach,2020-12-01
188,Ursula Heß,2021-02-21
189,Ing. Sylvana Klapp B.Sc.,2025-12-03
190,Timo Hein-Röhricht,2024-10-24
191,Vincent Kroker,2019-08-21
192,Margarethe Caspar B.Eng.,2019-02-12
193,Isidor Hecker,2023-12-12
194,Uli Neuschäfer-Eberhardt,2024-10-20
195,Ing. Günther Hornig B.A.,2020-12-07
196,Prof. Rosita Lindau,2022-09-29
197,Cilli Birnbaum B.A.,2020-03-11
198,Dr. Jonas Hauffer,2026-02-17
199,Ilija Bolander-Jockel,2024-08-02
200,Dr. Ignatz Thanel B.Eng.,2023-05-08
201,Gisa Karz-Rohleder,2018-09-13
202,Ing. Hans-Dietrich Rörricht,2021-01-23
203,Dr. Oswald Wagenknecht,2025-11-20
204,Janusz Dippel,2020-06-15
205,Mirella Renner,2022-07-05
206,Nathalie Striebitz,2024-04-23
207,Edeltraut Speer,2024-10-08
208,Dipl.-Ing. Enno Niemeier,2022-08-08
209,Thea Salz,2023-07-24
210,Margitta Holt,2018-11-04
211,Jovan Seifert,2022-06-14
212,Oswin Gutknecht,2024-09-08
213,Geert Wiek-Bender,2025-02-01
214,Oswin Hölzenbecher,2021-09-22
215,Erhardt Hande,2026-03-25
216,Cora Vogt B.A.,2021-04-13
217,Ing. Gordon Kensy,2022-04-01
218,Corina Hoffmann-Schüler,2024-07-06
219,Belinda Seip,2022-11-13
220,Marianna Dörschner B.Sc.,2021-04-20
221,Käte Ernst,2024-06-13
222,Lorenz Losekann MBA.,2019-08-17
223,Meike Döhn,2021-05-11
224,Konrad Ackermann,2023-08-02
225,Dipl.-Ing. Fredi Junck,2022-07-29
226,Gunhild Lehmann,2023-09-26
227,Hans-Gerd Bähr-Niemeier,2021-04-07
228,Enver Müller B.A.,2021-11-28
229,Hans-Günter Werner B.A.,2021-10-18
230,Herr Gabor Kroker,2022-06-09
231,Frau Margaret Bohlander B.Eng.,2020-06-04
232,Filippo Geißler,2022-09-19
233,Dolores Fischer-Henck,2024-08-23
234,Dipl.-Ing. Hans Jürgen Süßebier,2019-01-02
235,Ing. Ivonne Hettner B.Eng.,2021-01-12
236,Hedy Nohlmans-Heidrich,2023-04-19
237,Benno Kühnert-Bachmann,2021-01-29
238,Angelika Geisel,2022-08-20
239,Rosa Holt B.Sc.,2025-10-06
240,Frank Schmiedecke MBA.,2023-06-01
241,Hans-Christian Hartmann B.Eng.,2020-09-16
242,Herr Pawel Junk,2025-05-31
243,Dr. Sara Liebelt,2020-10-20
244,Witold Rädel,2022-02-09
245,Dipl.-Ing. Patrick Naser,2022-10-13
246,Heinz-Georg Bolzmann B.Sc.,2018-12-19
247,Dora Gotthard B.A.,2021-10-09
248,Margaret Wohlgemut MBA.,2019-06-09
249,Rose-Marie Börner,2026-05-17
250,Dipl.-Ing. Nadin Gieß B.Sc.,2020-11-10
251,Dorota Hauffer,2024-08-13
252,Monja Zobel MBA.,2026-04-07
253,Lilo Ditschlerin MBA.,2023-03-08
254,Carina Heydrich-Henschel,2019-07-30
255,Pierre Kusch,2023-01-29
256,Holger Schäfer,2020-03-28
257,Dr. Nils Hande,2022-09-20
258,Hüseyin Paffrath,2023-08-04
259,Mehmet Schuchhardt B.Eng.,2022-05-26
260,Prof. Dittmar Bruder B.Sc.,2025-05-20
261,Kreszentia Wernecke B.Sc.,2022-07-03
262,Hans-Joachim Seidel-Ruppert,2024-05-28
263,Doreen Jüttner B.Sc.,2022-09-06
264,Sieglinde Stumpf,2025-11-25
265,Diana Jacob B.Eng.,2024-11-05
266,Prof. Gertrud Adler,2024-09-19
267,Ingrid Schönland,2018-10-08
268,Nuray Stahr B.A.,2023-11-19
269,Peggy Söding-Dippel,2023-02-26
270,Dr. Theres Wähner,2021-07-30
271,Jörgen Matthäi,2024-02-03
272,Kasimir Kroker-Riehl,2023-01-23
273,Dörthe Seip-Lorch,2026-05-25
274,Dipl.-Ing. Sabrina Lorch B.A.,2024-05-01
275,Dunja Köhler-Eckbauer,2023-06-18
276,Agata Bähr-Metz,2022-04-10
277,Fernando Anders,2021-05-13
278,Beatrix Trüb,2023-09-06
279,Prof. Kemal Birnbaum B.Sc.,2020-01-15
280,Traute Fischer,2019-01-02
281,Abram Seifert-Mude,2024-10-27
282,Dipl.-Ing. Silja Seifert MBA.,2023-04-02
283,Ing. Harry Tröst,2019-06-19
284,Ing. Andrea Geißler,2019-01-09
285,Carsten Rose,2022-11-22
286,Dr. Milan Jacobi Jäckel,2018-09-07
287,Ildiko Carsten-Thies,2020-10-29
288,Hugo Tintzmann,2021-10-12
289,Dipl.-Ing. Henni Gnatz,2025-02-03
290,Yvonne Ortmann,2025-04-07
291,Theodora Harloff,2024-12-26
292,Eckard Werner B.A.,2022-10-30
293,Alida Scholz,2020-01-21
294,Domenico Wulff,2023-02-05
295,Henryk Ladeck,2021-08-20
296,Ingetraut Matthäi,2024-08-08
297,Charlotte Matthäi,2026-04-11
298,Laila Röhricht,2020-02-25
299,Milan Striebitz,2026-02-10
300,Alina van der Dussen B.Eng.,2023-11-30
301,Andreas Wernecke-Scholtz,2020-11-15
302,Siegrun Krebs,2019-07-17
303,Klaus-Peter Liebelt-Misicher,2023-12-23
304,Telse Mühle,2024-03-16
305,Niko Losekann,2019-05-12
306,Ioannis Heinrich,2021-10-01
307,Ottfried Bien,2025-07-05
308,Valentin Mende,2018-09-14
309,Dipl.-Ing. Hannchen Steckel B.Sc.,2023-01-10
310,Herr Aleksandr Seip,2018-11-23
311,Ing. Paula Ehlert,2025-10-29
312,Dr. Falko Karz,2020-03-18
313,Alexandre Schleich-Jockel,2021-01-11
314,Yvette Kallert,2019-04-15
315,Conny Schuster-Schottin,2023-09-17
316,Denny Klingelhöfer,2019-05-06
317,Kevin Herrmann,2020-07-15
318,Karsten Zobel MBA.,2019-04-28
319,Catharina Jüttner,2021-02-20
320,Helge Zahn,2024-01-11
321,Univ.Prof. Lotte Rörricht,2021-08-03
322,Siegrun Schleich,2020-03-27
323,Sebastiano Schinke,2025-12-28
324,Dipl.-Ing. Claus-Peter Peukert,2023-09-17
325,Ing. Marija Nohlmans B.A.,2025-11-22
326,Nurettin Dippel B.Eng.,2018-12-13
327,Hansjörg Ditschlerin,2024-01-05
328,Prof. James Kobelt,2020-11-13
329,Inna Benthin,2026-01-01
330,Harry Schinke,2023-04-09
331,Karl-Dieter Rosenow,2023-01-28
332,Frau Anna-Maria Heser B.Eng.,2019-07-03
333,Frau Margitta Döhn B.A.,2023-02-06
334,Hildegund Riehl,2023-10-01
335,Thaddäus Kraushaar,2026-02-14
336,Julie Johann B.Sc.,2024-02-26
337,Christos Seidel,2019-12-28
338,Prof. Raphaela Bender B.Eng.,2024-11-21
339,Ing. Annelie Ullrich B.Eng.,2020-01-02
340,Wendelin Girschner,2020-03-04
341,Manuela Bloch B.A.,2026-05-23
342,Myriam Wieloch MBA.,2023-01-08
343,Sven Becker,2020-02-06
344,Fernando Staude,2020-06-30
345,Dariusz Sölzer MBA.,2026-02-07
346,Magrit Jacobi Jäckel,2024-04-20
347,Sami Hettner,2019-06-17
348,Rudolph Faust B.Sc.,2024-08-06
349,Gretel Rogge-Kohl,2018-09-29
350,Walter Hauffer B.Eng.,2019-11-13
351,Leopold Hein,2022-12-20
352,Herr Anton Hölzenbecher,2020-11-10
353,Heidelore Möchlichen,2021-12-23
354,Dr. Christa-Maria Trapp B.Eng.,2020-12-28
355,Babette Kade,2019-02-25
356,Herbert Grein Groth,2025-07-14
357,Ing. Enrico Fischer,2025-05-22
358,Leila Fliegner B.Eng.,2019-05-27
359,Beatrix Mitschke-Höfig,2026-04-28
360,Maike Trubin,2018-11-11
361,Alois Wirth,2020-02-09
362,Karina Hiller-Ebert,2021-02-17
363,Ioannis Häring-Hiller,2025-04-26
364,Ing. Elma Drub B.A.,2018-12-02
365,Dipl.-Ing. Dusan Ullmann,2026-05-21
366,Roman Juncken,2024-02-25
367,Carsten Schmiedt-Patberg,2025-11-24
368,Claudius Bruder-Wilmsen,2020-02-03
369,Almuth Herrmann B.Eng.,2020-04-08
370,Ekrem Seip,2024-10-10
371,Frau Jennifer Gehringer,2026-06-16
372,Alfons Lehmann B.A.,2023-06-06
373,Recep Höfig B.Eng.,2022-07-03
374,Sabine Drub,2019-06-18
375,Juergen Wähner-Käster,2023-05-23
376,Jessika Schomber-Ullrich,2021-02-20
377,Thea Benthin-Seifert,2020-05-29
378,Prof. Hildegunde Gunpf B.Eng.,2026-01-11
379,Rosi Linke B.Eng.,2022-10-02
380,Cemal Reichmann,2024-03-22
381,Prof. Sevim Keudel,2025-03-12
382,Herr Bernfried Beier,2025-11-29
383,Diana Budig,2024-01-17
384,Gunar Kranz,2021-08-27
385,Univ.Prof. Kornelia Stroh B.Eng.,2024-12-11
386,Ehrenfried Heuser,2023-05-19
387,Leander Finke-Schulz,2019-01-21
388,Adam Hiller,2022-10-06
389,Karl-August Schüler B.Eng.,2019-10-28
390,Inka Scholtz,2023-06-27
391,Evangelia Klapp,2021-09-04
392,Friedlinde Heß,2018-10-26
393,Lioba Plath,2022-10-19
394,Hans-Jürgen Ruppert,2025-04-26
395,Prof. Rene Rogner MBA.,2018-11-16
396,Luisa Segebahn,2022-08-05
397,Oxana Holt,2025-02-18
398,Ana Fiebig-Zorbach,2025-03-25
399,Kaspar Schweitzer,2021-07-30
400,Angelique Kaul,2021-05-26
401,Bernfried Rosenow-Rädel,2023-11-29
402,Domenico Ackermann,2023-01-24
403,Dipl.-Ing. Jessica Gude B.Sc.,2024-10-31
404,Grzegorz Hein,2022-09-27
405,Dr. Edelbert Krebs MBA.,2018-08-20
406,Britta Rosemann,2022-01-23
407,Hans Heintze-Riehl,2022-06-02
408,Waldemar Thies-Mende,2020-12-07
409,Ricardo Hauffer,2023-03-06
410,Dr. Christoph Trapp B.Eng.,2019-08-16
411,Patricia Seifert,2022-08-20
412,Gerfried Wiek,2024-09-18
413,Dipl.-Ing. Freddy Gierschner,2019-02-08
414,Micha Dowerg-Cichorius,2019-07-28
415,Felicia Söding,2024-06-05
416,Agnieszka Fiebig,2020-08-24
417,Univ.Prof. Anneke Bähr,2023-11-22
418,Hans-Ludwig Reising,2023-11-26
419,Ivan Dobes,2019-03-23
420,Dipl.-Ing. Marina Säuberlich MBA.,2020-06-12
421,Verena Dehmel,2020-04-29
422,Änne Meister-Grein Groth,2024-02-12
423,Herr German Benthin,2025-05-24
424,Univ.Prof. Richard Huhn,2020-06-02
425,Undine Bärer,2018-07-19
426,Helge Roht,2019-04-18
427,Univ.Prof. Manja Haering,2021-03-19
428,Dagmar Kühnert,2025-09-02
429,Gretel Beckmann,2019-01-11
430,Fedor Henck,2019-02-25
431,Prof. Heinz-Joachim Renner,2019-02-20
432,Dipl.-Ing. Imke Kaul,2025-06-12
433,Sylwia Schmidtke-Paffrath,2021-07-16
434,Hans-J. Hendriks B.A.,2024-08-23
435,Alfons Rudolph-Holzapfel,2024-07-31
436,Hansjürgen Pechel,2022-08-28
437,Augustin Sauer B.Sc.,2025-03-09
438,Frau Anne-Marie Wesack B.Eng.,2023-12-23
439,Frau Rahel Schuchhardt B.A.,2021-07-08
440,Prof. Carlos Hethur MBA.,2022-04-14
441,Herr Gerhard Täsche MBA.,2022-03-02
442,Patrizia Baum,2020-09-18
443,Dr. Christopher Wulff,2022-07-16
444,Ludwig Lehmann MBA.,2020-08-04
445,Zdenka Ullmann,2025-04-14
446,Dr. Virginia Fischer B.A.,2023-11-05
447,Songül Scheel,2022-05-30
448,Prof. Darko Siering,2024-03-06
449,Dr. Gerhardt Adolph MBA.,2019-03-03
450,Marjan Schmiedt-Seifert,2019-01-19
451,Hans Jörg Kruschwitz,2020-10-12
452,Ulrich Mende-Herrmann,2023-03-07
453,Vincent Kobelt,2025-11-08
454,Prof. Gloria Staude,2024-03-30
455,Annett Losekann-Weihmann,2022-08-31
456,Frederik Hartung B.Sc.,2023-02-19
457,Kristina Biggen,2019-09-22
458,Christa-Maria Carsten-Schinke,2019-12-16
459,Dipl.-Ing. Angelina Jacob B.Eng.,2022-01-05
460,Frank Dörr-Hövel,2018-12-10
461,Ing. Gönül Förster,2019-08-24
462,Ann Hertrampf-Lachmann,2021-11-07
463,Theobald Ullrich,2020-11-06
464,Ing. Hilmar Kroker,2018-09-10
465,Wolf-Rüdiger Klemm,2025-08-13
466,Armin Harloff MBA.,2024-09-03
467,Herwig Hölzenbecher MBA.,2024-07-11
468,Dipl.-Ing. Hubertus Wagenknecht MBA.,2021-06-26
469,Ing. Recep Weiß,2025-10-05
470,Christa Neureuther,2019-11-19
471,Diethelm Reuter,2022-07-21
472,Frau Blanka Werner,2023-10-23
473,Heino Döring-Freudenberger,2024-05-12
474,Ingrid Schmidt B.Eng.,2020-09-16
475,Klaus-D. Jockel,2023-09-29
476,Hansjürgen Tröst,2024-01-07
477,Dipl.-Ing. Hakan Kusch,2022-11-19
478,Gaetano Beier,2026-03-08
479,Dr. Brunhilde Junitz MBA.,2022-12-11
480,Karina Boucsein,2022-07-02
481,Ing. Hermann-Josef Bruder,2018-09-19
482,Gesine Kreusel-Schönland,2026-01-04
483,Ing. Annegret Gnatz,2020-01-11
484,Beata Klapp,2018-09-05
485,Ottokar Neureuther,2024-10-21
486,Irmi Winkler,2022-06-25
487,Hasso Säuberlich,2022-05-05
488,Vassilios Bachmann-Weiß,2021-06-23
489,Dr. Hans-Hermann Eberth MBA.,2019-09-06
490,Gundi Wirth-Henk,2026-05-30
491,Egbert Mühle,2023-11-11
492,Victoria Krebs,2022-10-17
493,Gottlob Hornig B.A.,2023-12-28
494,Danny Schäfer,2021-05-25
495,Gordana Rogge,2026-04-29
496,Dr. Meral Röhrdanz,2024-11-14
497,Brit Hoffmann,2021-04-22
498,Guntram Benthin,2025-01-03
499,Rebecca Christoph,2018-12-07
500,Pasquale Kühnert,2024-06-11
